"A.S.COOPER & SONS, LTD.",C/O FFF SEALION SHIPPING,ELIZABETH,NJ,07201
THE EYECARE & SURGERY CENTER,592 SPRINGFIELD AVE,WESTFIELD,NJ,07090-1002
PEARLE VISION,275 ROUTE 22,SPRINGFIELD,NJ,07081-3554
EYE STYLES OF UNION,2115 ROUTE 22  W,UNION,NJ,07083-8409
SPECS FOR LESS,1489 FOREST AVE,STATEN ISLAND,NY,10302-2226
EYES & OPTICS FAMILY VISION CENTER,1378 FOREST AVE,STATEN ISLAND,NY,10302-2003
DR CHARLES NEU,295 NEW DORP LN,STATEN ISLAND,NY,10306-3005
"DMA EYE ASSOCIATES, LLC",2565 MORRIS AVE,UNION,NJ,07083-5613
LENSESRX.COM,2343 HYLAN BLVD,STATEN ISLAND,NY,10306
EYE Q OPTICIANS,36 MAIN ST,MILLBURN,NJ,07041-1304
WISE OPTICAL #4932,590 BROADWAY,BAYONNE,NJ,07002-3826
DR KIMBERLY M BROWN,50 UNION AVE,IRVINGTON,NJ,07111-3262
"OPTICAL PALACE, LLC",1091B SPRINGFIELD AVE,IRVINGTON,NJ,07111-2408
INFOCUS VISION CENTER,1100 CENTENNIAL AVE,PISCATAWAY,NJ,08854-4152
INNOVATIVE EYEWEAR,800 MORRIS TPKE,SHORT HILLS,NJ,07078-2698
ODS,803 SPRINGFIELD AVE,SUMMIT,NJ,07901-5110
BARRIOS VISION,221 US HIGHWAY 22,GREEN BROOK,NJ,08812-1921
ELEGANT EYES,875 BROAD ST,NEWARK,NJ,07102-2622
EYE CONTACT VISION CTR,106 FERRY ST,NEWARK,NJ,07105-2106
NEIMAN MARCUS,1200 MORRIS TURNPIKE,SHORT HILLS,NJ,07078
NORDSTROM,1220 MORRIS TURNPIKE,SHORT HILLS,NJ,07078
BLOOMINGDALES,1220 MORRIS TURNPIKE,SHORT HILLS,NJ,07078
EYE CONTACT VISION CENTER,279 FERRY ST,NEWARK,NJ,07105-3400
ADON EYE   DBA PILDES OPTICAL,1200 MORRIS TPKE,SHORT HILLS,NJ,07078-2718
BLOOMINGDALES,1200 MORRIS TURNPIKE,SHORT HILLS,NJ,7078
SOLSTICE,1200 MORRIS TURNPIKE STE C242,SHORT HILLS,NJ,7078
EYECARE OF EASTON,1075 EASTON AVE,SOMERSET,NJ,08873-1625
NORDSTROM,1200 MORRIS TURNPIKE,SHORT HILLS,NJ,7078
VISION ASSOC. RX,5 POWDERHORN DR,WARREN,NJ,07059-5105
IPPOLITO EYE CARE,1107 VALLEY RD,STIRLING,NJ,07980-1546
VERRAZANO VISION,8421 3RD AVE,BROOKLYN,NY,11209-4601
BLOCK AND ZUCKERMAN,796 NORTHFIELD AVE,WEST ORANGE,NJ,07052-1025
OPTICAL ELEGANCE INC,560 MARTIN LUTHER KING,EAST ORANGE,NJ,07018-2208
BAY RIDGE VISION EXPRESS,8310 5TH AVE,BROOKLYN,NY,11209-4511
JEFFREY OPTICS INC,32 E NORTHFIELD RD,LIVINGSTON,NJ,07039-4502
LIVAN SAVINO OPTICIANS,1402 86TH ST,BROOKLYN,NY,11228-3408
COHEN'S FASHION OPTICAL,112 EISENHOWER PKWY,LIVINGSTON,NJ,07039-4995
EYE SOLUTIONS,6002 8TH AVE,BROOKLYN,NY,11220-4338
ILOOK EYEWEAR,5914 8TH AVE,BROOKLYN,NY,11220-4169
