name,address,city,zip
Midtown Eye care,650 Ponce de Leon Avenue,Atlanta,30308
MIDTOWN OPTICAL,650 Ponce de Leon Ave,"Atlanta, GA",30308
Ansley Eye Care,1544 Piedmont Ave NE,Atlanta,30324
Bolt Eye Group - Decatur,216 Church St,"Decatur, GA",30030
Ansley Eye Care,"22 E Andrews Drive NW, Ste B","Atlanta, GA",30305
Salle Optician,3500 Peachtree Rd NE,"Atlanta, GA",30326
Bolt Eye Group - East Cobb,"2255 Sewell Mill Rd., Ste 310","Marietta, GA",30062
Pritchett Eye Care,3005 Old Alabama Rd. Suite 300,"Johns Creek, GA",30022
b. spectacled,50 Canton Street,Alpharetta,30022
Reimbold Eye Group,4180 Old Milton Pkwy Suite 1D,"Alpharetta, GA",30005
b.spectacled,991 Peachtree Industrial Blvd,"30024, Suwanee, GA",Ste 114
Bolt Eye Group - Canton,"2060 Cumming Hwy, Ste 400","Canton, GA",30115
CUSTOM EYES,1540 S 2nd Street,"Wilmington, NC",28401
OJO Optique – Albuquerque,"3339 Central NE, Suite B",Albuquerque,NM 87106
James Eyecare & Optics Gallery,17711 Chenal Parkway Suite I-1,Little Rock,72223
Eye Society,"6450 Poplar Avenue, Ste #117","Memphis, TN",38119
Eclectic Eye ,38017S Houston Levee Rd U102,Collierville,
Eclectic Eye,242 Cooper Street,Memphis,38104
Potpourri Eyewear,376 Main Street,"Highlands, NC",28741
NuVue Optical- Copper,Copper Way Suite 100 12105,"Charlotte, NC",28277
Autarchic Spec Shop,1600 E. Woodlawn Rd Suite 362,"Charlotte, NC",28209
Ojo Optique,125 Lincoln Avenue #114,"Santa Fe, NM",87501
Black Optical,5820 North Classen Boulevard,Oklahoma City,73118
TSO Optical, 3840 South Boulevard,Edmund,73013
Mertins Eye & Optical,640 North Garland Avenue,Fayetteville,72701
L'Optique - Ashville N.C.,Wall Street 30,"Asheville, NC",28801
NC EYE ASSOCIATES,1429 Kelly Rd,"Apex, NC",27502
The Spectacle,4209 Lassiter Mill Road,Raleigh,27613
Optica,3950 S Las Vegas Blvd.,Las Vegas,89109
Optica Mandalay Bay Resort,3950 Las Vegas Blvd S.,Las Vegas NV 89119,
Optica MGM,"MGM Hotel, 3799 LV Blvd S","Las Vegas, Nevada",89109
Optica,3799	Las Vegas Boulevard South,Las Vegas,89109
Optica,3600 S Las Vegas Blvd,Las Vegas,89110
Davante @ Forum Shops,3500	Las Vegas Boulvevard Sout,Las Vegas,89109
LEICA Store Las Vegas,Las Vegas Blvd South 3500,Las Vegas,89190
Optica,3401 S Las Vegas Blvd.,Las Vegas,89109
Optica ,3377 S Las Vegas Blvd.,Las Vegas,89109
Scene,3325 S Las Vegas Blvd,Las Vegas,89109
Optica Fashion Show,3200 LV Blvd S. Ste 1670,Las Vegas NV,89109
Insight Eyecare Jenks,301 West Main Street,"Jenks, OK",74037
Black Optical,3624D South Peoria Avenue,Tulsa,74105
Look East ,966 Main Street,Nashville,TN 37206
C. EYEWEAR,S. STRATFORD RD. STE B 302,"WINSTON SALEM, NC",27103
